Topic 0,Topic 1,label
0.6588108,0.34118924,positive
0.97616905,0.023830935,positive
0.9522103,0.047789663,negative
0.8060645,0.19393553,positive
0.97753865,0.022461317,positive
0.97018266,0.02981732,positive
0.9303399,0.069660105,positive
0.91661745,0.08338255,neutral
0.8483326,0.15166745,negative
0.97727704,0.022722995,neutral
0.4352639,0.5647361,positive
0.49574083,0.5042592,neutral
0.9336152,0.06638476,neutral
0.91661745,0.08338255,neutral
0.9568442,0.04315578,negative
0.4436247,0.5563753,positive
0.22763655,0.7723634,positive
0.7665949,0.23340511,neutral
0.87410676,0.12589322,neutral
0.25378153,0.7462185,positive
0.721197,0.278803,negative
0.5,0.5,neutral
0.669047,0.33095303,positive
0.10846619,0.8915338,positive
0.9623446,0.03765538,neutral
0.9144041,0.08559589,positive
0.10306233,0.89693767,neutral
0.25658622,0.7434138,positive
0.078975424,0.92102456,positive
0.95735276,0.042647235,positive
0.9482408,0.051759217,positive
0.9813855,0.01861448,positive
0.94620496,0.053795047,positive
0.7781942,0.22180581,positive
0.9736125,0.026387492,negative
0.22521183,0.77478814,positive
0.961874,0.038125947,negative
0.058721267,0.9412787,positive
0.7866722,0.21332784,negative
0.6515386,0.3484614,negative
0.97941107,0.020588955,positive
0.9245759,0.07542411,positive
0.9740842,0.025915753,negative
0.077503845,0.92249614,positive
0.9681694,0.031830624,neutral
0.9547202,0.045279834,negative
0.8137057,0.18629432,negative
0.3305528,0.6694472,positive
0.96851456,0.031485412,positive
0.86024606,0.13975391,positive
0.87337303,0.126627,positive
0.9792369,0.020763043,neutral
0.377879,0.6221209,positive
0.96837354,0.031626437,negative
0.9473673,0.052632727,neutral
0.88251656,0.117483474,neutral
0.23915134,0.7608487,positive
0.96059847,0.039401494,neutral
0.8467996,0.15320039,positive
0.9757411,0.024258943,positive
0.8287094,0.17129065,positive
0.9559597,0.044040326,neutral
0.048740044,0.9512599,positive
0.94042397,0.05957608,positive
0.4516093,0.5483907,neutral
0.81162393,0.18837607,positive
0.37467495,0.6253251,neutral
0.28793082,0.7120692,negative
0.9690683,0.030931726,negative
0.91661745,0.08338255,neutral
0.91661745,0.08338255,neutral
0.4376289,0.5623711,neutral
0.108390875,0.89160913,neutral
0.91661745,0.08338255,neutral
0.91069824,0.089301735,positive
0.9634488,0.036551148,positive
0.27610543,0.7238946,positive
0.9158223,0.08417768,negative
0.55694944,0.4430506,positive
0.39574844,0.60425156,neutral
0.5,0.5,neutral
0.966611,0.033388957,neutral
0.9624179,0.037582077,neutral
0.94434756,0.05565241,positive
0.91785717,0.08214279,negative
0.032910015,0.96709,positive
